chain,draw,score_cpxR,score_soxR
0,4030,-560.0,-491.0
0,4040,-560.0,-550.0
0,4050,-560.0,-550.0
0,4060,-560.0,-550.0
0,4070,-560.0,-550.0
0,4080,-560.0,-550.0
0,4090,-560.0,-550.0
0,4100,-560.0,-491.0
0,4110,-560.0,-491.0
0,4120,-560.0,-491.0
0,4130,-560.0,-550.0
0,4140,-560.0,-550.0
0,4150,-560.0,-550.0
0,4160,-560.0,-550.0
0,4170,-560.0,-550.0
0,4180,-560.0,-550.0
0,4190,-560.0,-550.0
0,4200,-560.0,-550.0
0,4210,-560.0,-550.0
0,4220,-560.0,-550.0
0,4230,-560.0,-550.0
0,4240,-560.0,-550.0
0,4250,-560.0,-550.0
0,4260,-560.0,-491.0
0,4270,-560.0,-491.0
0,4280,-560.0,-491.0
0,4290,-560.0,-491.0
0,4300,-560.0,-491.0
0,4310,-560.0,-550.0
0,4320,-560.0,-491.0
0,4330,-560.0,-550.0
0,4340,-560.0,-550.0
0,4350,-560.0,-491.0
0,4360,-560.0,-491.0
0,4370,-560.0,-491.0
0,4380,-560.0,-491.0
0,4390,-560.0,-550.0
0,4400,-560.0,-550.0
0,4410,-560.0,-550.0
0,4420,-560.0,-550.0
0,4430,-560.0,-550.0
0,4440,-560.0,-550.0
0,4450,-560.0,-491.0
0,4460,-560.0,-550.0
0,4470,-560.0,-550.0
0,4480,-560.0,-550.0
0,4490,-560.0,-550.0
0,4500,-560.0,-550.0
0,4510,-560.0,-550.0
0,4520,-560.0,-550.0
0,4530,-560.0,-550.0
0,4540,-560.0,-550.0
0,4550,-560.0,-550.0
0,4560,-560.0,-550.0
0,4570,-560.0,-550.0
0,4580,-560.0,-550.0
0,4590,-560.0,-550.0
0,4600,-560.0,-550.0
0,4610,-560.0,-550.0
0,4620,-560.0,-550.0
0,4630,-560.0,-550.0
0,4640,-560.0,-550.0
0,4650,-560.0,-550.0
0,4660,-560.0,-550.0
0,4670,-560.0,-550.0
0,4680,-560.0,-550.0
0,4690,-560.0,-550.0
0,4700,-560.0,-550.0
0,4710,-560.0,-550.0
0,4720,-560.0,-550.0
0,4730,-560.0,-550.0
0,4740,-560.0,-550.0
0,4750,-560.0,-550.0
0,4760,-560.0,-550.0
0,4770,-560.0,-550.0
0,4780,-560.0,-550.0
0,4790,-560.0,-550.0
0,4800,-560.0,-550.0
0,4810,-560.0,-550.0
0,4820,-560.0,-550.0
0,4830,-560.0,-550.0
0,4840,-560.0,-550.0
0,4850,-560.0,-550.0
0,4860,-560.0,-550.0
0,4870,-560.0,-550.0
0,4880,-560.0,-550.0
0,4890,-560.0,-550.0
0,4900,-560.0,-550.0
0,4910,-560.0,-491.0
0,4920,-560.0,-491.0
0,4930,-560.0,-491.0
0,4940,-560.0,-491.0
0,4950,-560.0,-491.0
0,4960,-560.0,-491.0
0,4970,-560.0,-491.0
0,4980,-560.0,-491.0
0,4990,-560.0,-491.0
0,5000,-560.0,-550.0
0,5010,-560.0,-550.0
0,5020,-560.0,-550.0
0,5030,-560.0,-550.0
0,5040,-560.0,-550.0
0,5050,-560.0,-550.0
0,5060,-560.0,-550.0
0,5070,-560.0,-491.0
0,5080,-560.0,-550.0
0,5090,-560.0,-550.0
0,5100,-560.0,-550.0
0,5110,-560.0,-550.0
0,5120,-560.0,-550.0
0,5130,-560.0,-550.0
0,5140,-560.0,-550.0
0,5150,-560.0,-550.0
0,5160,-560.0,-491.0
0,5170,-560.0,-550.0
0,5180,-560.0,-550.0
0,5190,-560.0,-550.0
0,5200,-560.0,-550.0
0,5210,-560.0,-550.0
0,5220,-560.0,-550.0
0,5230,-560.0,-550.0
0,5240,-560.0,-550.0
0,5250,-560.0,-550.0
0,5260,-560.0,-550.0
